instanceId,projects,bestIteration,totalLateness,totalSamples,horizonDays,avgStationUtil,maxStationUtil,avgChamberUtil,runtimeMs
I1,2,1,15,6,55,0.225108,0.454545,0.054408,37
I2,2,1,6,6,55,0.237273,0.454545,0.068013,1
