iteration,horizonDays,chamberId,stationIdx,busyDays,utilization
1,116,T011,6,15,0.1293
1,116,T011,3,15,0.1293
1,116,T026,5,10,0.0862
1,116,T026,3,10,0.0862
1,116,T026,2,10,0.0862
1,116,T027,7,10,0.0862
1,116,T012,8,10,0.0862
1,116,T012,6,10,0.0862
1,116,T012,7,10,0.0862
1,116,T011,1,10,0.0862
1,116,T009,11,10,0.0862
1,116,T026,4,5,0.0431
1,116,T013,3,5,0.0431
1,116,T013,1,5,0.0431
1,116,T013,10,5,0.0431
1,116,T013,7,5,0.0431
1,116,T013,8,5,0.0431
1,116,T013,5,5,0.0431
1,116,T011,11,5,0.0431
1,116,T011,2,5,0.0431
1,116,T011,9,5,0.0431
1,116,T011,7,5,0.0431
1,116,T011,8,5,0.0431
1,116,T011,5,5,0.0431
1,116,T011,4,5,0.0431
