iteration,env,tempC,humidity,stations,workDays,workDaysPerStation
1,38C/NORMAL,38,NORMAL,8,250,31.2500
1,10C/NORMAL,10,NORMAL,32,1000,31.2500
1,25C/NORMAL,25,NORMAL,38,1050,27.6316
1,32C/85%,32,85%,28,750,26.7857
1,25C/85%,25,85%,28,750,26.7857
1,43C/NORMAL,43,NORMAL,58,1405,24.2241
1,16C/NORMAL,16,NORMAL,30,625,20.8333
1,32C/NORMAL,32,NORMAL,18,375,20.8333
