iteration,env,tempC,humidity,stations,workDays,workDaysPerStation
2,38C/NORMAL,38,NORMAL,8,250,31.2500
2,32C/85%,32,85%,26,750,28.8462
2,43C/NORMAL,43,NORMAL,54,1545,28.6111
2,10C/NORMAL,10,NORMAL,36,1000,27.7778
2,25C/85%,25,85%,28,750,26.7857
2,25C/NORMAL,25,NORMAL,42,1050,25.0000
2,16C/NORMAL,16,NORMAL,26,625,24.0385
2,32C/NORMAL,32,NORMAL,20,375,18.7500
